favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
2,Twitter Web Client,"'Any ideas what we should call our new drink'
 'Spike?' 
'Grand,so'
https://t.co/YuRoNkvzaz",,False,Wed Apr 26 15:04:02 +0000 2017,0,857248915070087169
1,Twitter Web Client,@boundarybrewing @DuncanWeldon *other IPAs are available,boundarybrewing,False,Fri Oct 07 09:31:44 +0000 2016,0,784325327078109185
1,Twitter for iPhone,100 year ago via https://t.co/bUKpPiGn5N #ae16 https://t.co/8KLBVhKsGf,,False,Fri May 06 17:29:18 +0000 2016,2,728637779169660929
22,Twitter Web Client,Barnier taking a tough line on the backstop. He welcomed the fact that the UK had published something. But all down… https://t.co/e9omtrmlHC,,False,Fri Jun 08 13:03:45 +0000 2018,15,1005072894236483586
1,Twitter Web Client,Bovine lungworm treatment advertising is a lost art https://t.co/tJZSpHlUAi,,False,Wed Apr 26 15:40:01 +0000 2017,1,857257967485431808
2,Twitter Web Client,If the 'no hard borders' promise is to be kept then the NI/ Ireland arrangement has to be even more seamless/ unobt… https://t.co/GaWvjwZeKA,,False,Tue Apr 04 12:08:56 +0000 2017,2,849232316698427393
0,Twitter Web Client,NI Affaits Committee investigation holed below the waterline. https://t.co/Q81cwyjtET,,False,Wed Jan 20 12:04:36 +0000 2016,2,689780565118185472
0,Twitter Web Client,no real idea yet on how flexible the UK Agri framework will be when it comes to the devolved administrations,JP_Biz,False,Sat Jul 22 15:58:41 +0000 2017,0,888790410503626753
0,Twitter for iPhone,"@CJCHowarth Leo seems much, much more bullish than what’s being briefed in Brussels",CJCHowarth,False,Thu Nov 09 08:22:13 +0000 2017,0,928538203920977920
6,Twitter Web Client,Japanese e-commerce firm Rakuten which bought Belfast bitcoin startup Bitnet says its adding 20 jobs in the city. £140k grant from InvestNI,,False,Fri May 05 11:18:34 +0000 2017,6,860453663772475392
