favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
0,Twitter for Websites,Gortin teen accused of killing Darren McBrearty released on bail - Ulster Herald http://t.co/2spJZ1SLW6,,False,Wed Aug 07 12:46:59 +0000 2013,0,365091702249234432
1,TweetDeck,Security operation is underway in Carrickmore after the discovery of what the PSNI have described as a ‘suspicious object’. Story to follow.,,False,Wed Nov 18 17:49:47 +0000 2015,6,667036996133650432
0,Twitter Web Client,@theplathdiaries Was told it's moving up where Jack and Jones is now.,theplathdiaries,False,Thu Mar 27 18:50:49 +0000 2014,0,449257249262014465
1,Twitter for Android,"Correction, Sean Donnelly was elected on 3rd count in Mid Tyrone from Sean Clare's transfers. #le14",,False,Fri May 23 17:53:12 +0000 2014,0,469898855086321664
2,Twitter for Android,Just remembered I'd switched my wifi off earlier and me spotifying and youtubin' away on 4G... https://t.co/FwOel3Gwme,,False,Thu Sep 08 11:51:24 +0000 2016,1,773851227587276800
1,Twitter for Android,@freyamcc @BBCRadioFoyle best of luck to you Freya.,freyamcc,False,Thu Aug 18 22:47:22 +0000 2016,0,766406159309934592
1,Twitter for Android,"You'd wonder the rationale behind staging two major boxing cards on the same night in direct competition. 
#FramptonDonaire #Khan",,False,Sat Apr 21 19:40:44 +0000 2018,0,987778177928974336
16,Twitter Web Client,@StephenNolan Google searches for 'Stephen Nolan' in England in the past hour... #BBCsalaries https://t.co/4zBAVdCG3s,RyanMcAleerbiz,False,Wed Jul 19 10:32:27 +0000 2017,6,887621146149081088
0,Twitter Web Client,@SeamasSeosamh It was a covered/viewing area for the duck pond and a large tree.,JimSceal,False,Mon Jun 22 10:56:39 +0000 2015,0,612937237119004672
0,Twitter for Android,In @lougherne this morning for the #Brexit conference organised by councils in the East Border Region. https://t.co/q0K7YTpGPg,,False,Thu May 04 09:43:18 +0000 2017,2,860067300451528705
0,Twitter for Android Tablets,More bad news for health services in Omagh. Developing story now up on http://t.co/DHmE6hY8UT,,False,Mon Nov 17 13:19:02 +0000 2014,0,534334900917514241
3,Twitter for Android,"#GE17 UUP standing aside Foyle, N Belfast &amp; W Belfast. 1st time standing aside in Foyle since '97. Last time didn't stand in WB for GE: '74",,False,Sat Apr 22 11:24:19 +0000 2017,6,855744067967254528
3,Twitter Web Client,Tyrone GAA star Cathal McCarron has pulled out of an appearance on tonight's @BBCNolan Live show. More on https://t.co/W8n1juAHDS,,False,Wed Nov 02 17:47:33 +0000 2016,6,793872188143181824
0,Twitter for Android,"@Cillian16 Was due to be announced tonight, but all very quiet.",,False,Mon May 01 22:10:00 +0000 2017,0,859168049575940096
1,Twitter Web Client,Eamon Molly (Assist secretary in the Dept of An Taoiseach) now setting out the Irish Govt position on #Brexit at @LoughErneResort,,False,Thu May 04 10:10:05 +0000 2017,0,860074039511064578
0,Twitter for Android,"Not long home from Toulouse and some more #A220 news... MoU may not be a contract, but it's a great start for the n… https://t.co/mfnobUbzH1",,False,Wed Jul 11 00:17:29 +0000 2018,0,1016838852319825920
2,TweetDeck,"Pat Doherty has huge support with him in Omagh tonight, but he's not getting it all his own way. Plenty of flack thrown his way. #WTY15",,False,Tue Apr 28 19:53:49 +0000 2015,0,593141084055805954
0,Twitter Web Client,Australia's first female Muslim MP Dr Anne Aly uses her maiden speech to praise Omagh victims' campaigner https://t.co/e0ZSanPAX6,,False,Tue Sep 27 13:30:49 +0000 2016,1,780761614698049536
20,Twitter for Android,Just spoke to an eye witness who confirmed the Navan flag incident occurred pre-game. Said the man arrived and was… https://t.co/6okzTuPn8C,RyanMcAleerbiz,False,Sun Jun 10 10:22:12 +0000 2018,17,1005757011018108929
1,Twitter for Android,Excerpt from Graham Shields' report into Howard PS reveals head of Electoral Commission Seamus Magee was there May 22 http://t.co/C3yk6PVCTU,,False,Mon Apr 13 15:10:34 +0000 2015,4,587633985246887936
0,Twitter Web Client,"A lengthy PSNI statement today also slips in the launch of a review of police stations and ""other estate"". Could spell more closures.",,False,Wed Feb 11 13:26:37 +0000 2015,0,565502165318656000
1,TweetDeck,Here we go... #SDLP15,,False,Sat Nov 14 17:11:09 +0000 2015,1,665577723226624004
2,Twitter for Websites,My story on buyers being intimidated away from repossessed properties in Tyrone - Ulster Herald http://t.co/QFn88yRQxC,,False,Tue Sep 02 17:05:52 +0000 2014,1,506850508040962049
4,Twitter for Android,22 people have now lost their lives on the A5 since the Executive first agreed to build a new dual carriageway in July 2007.,RyanMcAleerbiz,False,Sun Aug 21 08:41:42 +0000 2016,12,767280503561023488
0,Twitter Web Client,"Responding to queries over why west so badly affected, D Kennedy points to fact 50% plant managed by PPP contract. #NIwater",,False,Tue Jan 20 15:50:03 +0000 2015,0,557565726941515776
1,Twitter for Android,Danny McSorley launches revised Omagh Masterplan in one of his final engagements as the last chief exec of Omagh DC. http://t.co/AZkMh2BV0b,,False,Thu Mar 26 13:12:21 +0000 2015,0,581081254495408128
0,Twitter Web Client,@Gunners2121 There was a full report in Thursday's paper. Most of it should be online tomorrow.,Mountainman989,False,Fri Aug 16 22:37:59 +0000 2013,0,368501923160129537
1,Twitter for Android,@liam1910 @barrabest Borderline shorts weather. https://t.co/lNLaQAggah,liam1910,False,Sat Jul 15 22:48:32 +0000 2017,0,886356838526144513
1,Twitter Web Client,@JP_Biz The latest legal challenge should bring us up to the 11th anniversary since the Executive agreed to proceed with the project.,JP_Biz,False,Tue Jan 30 16:23:34 +0000 2018,0,958375144535285760
0,Twitter Web Client,"VIDEO: Loyalist band in Castlederg rules out future dialogue with SF after parade re-routed 
http://t.co/bD4iBwJxJD http://t.co/OIdX2lxo9U",,False,Thu Jul 16 14:03:21 +0000 2015,2,621681530226769920
6,Twitter for Android,I remember 5 years ago taking a camera set-up to the Ulster Junior &amp; Intermediate club finals in Armagh for the Uls… https://t.co/8on7odqYwN,,False,Sat Nov 10 22:10:05 +0000 2018,0,1061380502274408448
0,Twitter for Android,Plenty of signs of growth contained in the new @ManufacturingNI survey. https://t.co/x0XqECscBL,RyanMcAleerbiz,False,Thu Jan 10 11:13:55 +0000 2019,1,1083321029492129793
0,Twitter for Android,@mcullenpics  https://t.co/QTdNm2scee,mcullenpics,False,Sat May 13 22:49:20 +0000 2017,0,863526605662150656
6,TweetDeck,When Kevin met Arlene... https://t.co/gC4uYETmD8,,False,Fri Mar 03 19:10:45 +0000 2017,1,837742058026725376
0,Twitter Web Client,"Turnover at the holding company behind Belfast's Merchant and Bullitt hotels, as well as a range of pubs, surged by… https://t.co/Z316mP3Ctw",,False,Fri Apr 05 11:05:42 +0000 2019,0,1114121931807174656
0,Twitter for Websites,Video: Mickey Harte and Thady Turbett paying tribute to the late Donal Donnelly at last year's UH Sports awards http://t.co/hCqR03rfji,,False,Sun Dec 15 00:05:48 +0000 2013,0,412010566341767168
